p,pair,classification,primary_crossing_q,primary_crossing_q_left,primary_crossing_q_right,num_crossings,min_abs_gap_q,min_abs_gap
0.01,L3-L4,nonmonotonic_or_noisy,0.0201102378262784,0.02,0.025,7,0.0,0.0
0.01,L4-L5,nonmonotonic_or_noisy,0.026442838848863004,0.025,0.03,5,0.0,0.0
0.03,L3-L4,single_crossing,0.019587349115666782,0.015,0.02,1,0.01,-0.00022049495152065557
0.03,L4-L5,nonmonotonic_or_noisy,0.025599794941312468,0.025,0.03,5,0.0,0.0
0.05,L3-L4,single_crossing,0.022210293181927337,0.02,0.025,1,0.005,-0.0008976927257718925
0.05,L4-L5,nonmonotonic_or_noisy,0.0264902105490246,0.025,0.03,5,0.0,0.0
0.07,L3-L4,nonmonotonic_or_noisy,0.028304286992810488,0.025,0.03,2,0.03,0.0009559031895229886
0.07,L4-L5,nonmonotonic_or_noisy,5.474786266172042e-05,0.0,0.005,5,0.0,-1.856243799602808e-05
0.1,L3-L4,below_threshold_through_q_window,,,,0,0.035,-0.02633431813073539
0.1,L4-L5,nonmonotonic_or_noisy,0.013161894443209988,0.01,0.015,3,0.0,-0.002060239277188791
0.12,L3-L4,below_threshold_through_q_window,,,,0,0.02,-0.06402466123066264
0.12,L4-L5,single_crossing,0.037614417312408624,0.035,0.04,1,0.02,-0.001699182419549805
