host	host_run_id	L	q	fixed_p	run_root	output_stem	seed_base	workers	completed_at
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0000	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0000	scan_result_L3_p0p0500_q0p0000_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T02:11:08-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0050	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0050	scan_result_L3_p0p0500_q0p0050_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T02:32:15-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0100	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0100	scan_result_L3_p0p0500_q0p0100_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T02:54:51-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0150	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0150	scan_result_L3_p0p0500_q0p0150_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T03:17:06-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0200	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0200	scan_result_L3_p0p0500_q0p0200_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T03:38:53-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0250	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0250	scan_result_L3_p0p0500_q0p0250_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T04:00:47-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0300	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0300	scan_result_L3_p0p0500_q0p0300_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T04:22:28-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0350	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0350	scan_result_L3_p0p0500_q0p0350_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T04:44:05-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0400	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0400	scan_result_L3_p0p0500_q0p0400_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T05:06:08-0400
nd-2	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2	3	0.0450	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd2/L3/q_0p0450	scan_result_L3_p0p0500_q0p0450_exp32_fixed_p_q_scan_common_random	202605142	80	2026-05-14T05:28:06-0400
