config,k,p_k,q_k,swap_acceptance_to_k_plus_1,winding_acceptance_rate_mean,winding_accepted_per_chain_mean,winding_attempted_per_chain_mean,sector_flips_per_chain_mean,sector_flip_rate_per_diagnostic_interval,chains_with_sector_flip,num_chains,diagnostic_samples_mean,diagnostic_stride,num_measurements
M_strict_qhot032_m128,0,0.05000000000000001,0.08000000000000002,0.8040184453227931,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,1,0.06089085027766174,0.09369542304279663,0.7766798418972333,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,2,0.0729633685509879,0.10826739206030414,0.7582345191040843,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,3,0.08612040338074055,0.12355502105019264,0.7434123847167325,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,4,0.10023403916322415,0.13938654934025893,0.7045454545454546,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,5,0.11515281272540166,0.15558735970110701,0.6646903820816864,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,6,0.13070985563006426,0.1719871067389061,0.6156126482213439,2.7448397013614406e-05,0.75,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,7,0.146731153249344,0.18842555214865583,0.5559947299077734,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,8,0.16304322119019324,0.2047569127894798,0.49242424242424243,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,9,0.17947968176590667,0.22085271061574663,0.41106719367588934,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,10,0.19588643394366193,0.23660325120917824,0.3218050065876153,2.7448397013614406e-05,0.75,27324.0,0.0,0.0,0,4,128.0,1,128
M_strict_qhot032_m128,11,0.21212531086375094,0.2519179441722128,0.2210144927536232,3.6597862684819206e-05,1.0,27324.0,2.5,0.01968503937007874,3,4,128.0,1,128
M_strict_qhot032_m128,12,0.22807628295184862,0.2667247181192231,0.17226613965744403,3.6597862684819206e-05,1.0,27324.0,9.5,0.07480314960629922,4,4,128.0,1,128
M_strict_qhot032_m128,13,0.2436383790634235,0.2809687853729252,0.17457180500658764,5.4896794027228805e-05,1.5,27324.0,38.0,0.2992125984251969,4,4,128.0,1,128
M_strict_qhot032_m128,14,0.25872956222519133,0.29461098862658663,0.22397891963109354,0.00014639145073927682,4.0,27324.0,83.25,0.655511811023622,4,4,128.0,1,128
M_strict_qhot032_m128,15,0.27328581768469024,0.30762592490007873,0.28194993412384717,0.0010338896208461426,28.25,27324.0,91.25,0.7185039370078741,4,4,128.0,1,128
M_strict_qhot032_m128,16,0.2872597003853142,0.32000000000000006,,0.0027265407700190307,74.5,27324.0,95.5,0.7519685039370079,4,4,128.0,1,128
N_strict_qhot035_m128,0,0.05000000000000001,0.08000000000000002,0.7855731225296443,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
N_strict_qhot035_m128,1,0.06283285692551613,0.0960793318586155,0.7361660079051382,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
N_strict_qhot035_m128,2,0.07725602833341093,0.11331750116189565,0.7315546772068512,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
N_strict_qhot035_m128,3,0.09310209544943875,0.13145348801824794,0.6732542819499341,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
N_strict_qhot035_m128,4,0.11015085227031185,0.15021112181699375,0.6245059288537549,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
N_strict_qhot035_m128,5,0.12814588345397082,0.1693157152362034,0.5559947299077734,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
N_strict_qhot035_m128,6,0.14681245189611616,0.18850791309668907,0.4776021080368906,2.7448397013614406e-05,0.75,27324.0,0.0,0.0,0,4,128.0,1,128
