m,candidate_index,graph_seed,construction_attempts,rank,classical_H_sha256,decision
3,0,2235038961015392702,2,8,a042857a6779670e21de27535ab1dfb4868ad28b0e751af48b5431f5a3e5cc86,rank_deficient
3,1,1833726724121472376,16,9,057313f2f4cbf7295364fd041eb0db6a15f3b7583df136bb53b4a1af89fde30f,accepted
3,2,9184603663204143494,12,8,406e4a35010def9fe573ac9456a20752b911790e018f34e1b01baa639bc010f2,rank_deficient
3,3,1776929286590871384,1,9,a28661aee41556186ad71ebd91b661c6dd5c4d8550d8fdb418147cfae87a20c1,accepted
3,4,6254586124548351213,15,9,ff539e231b2d937fdd96b21ee191d07fe540a0b70ba85780a5e6cab30b8cf605,accepted
3,5,4858795612864983804,1,9,a57c062eae5665f9b9ccd6c22c4e021fc7956f8dbd94571f85f5a6abb39a00b9,accepted
3,6,1801289065217194594,24,9,e1f3f48f636f5ef363f58b074391c9f27ba102161ac739dd20fc63c3fb7a2444,accepted
3,7,8750434803152574036,19,8,193f3e14a302bc0711ac4222035d7161c04f35ca2e5d29ef599cfc1585e6dc14,rank_deficient
3,8,6096219983817245442,34,7,c1d26dfebdec4ebf5086de182c372b6c3cddfac3e9a3096388c9711ac1efeb97,rank_deficient
3,9,1968400196555618637,14,9,bfeafc05a21db3a39d450272fce016ca8628edb481caa2b1ff4ff28e35ef64fd,accepted
3,10,2548270594712249965,17,9,f5452eaea3e93cebaa1306e5b670e43b9551890c00187e5aa4d7b9a77d21b3f6,accepted
3,11,5520458490642014123,7,8,792e08283e4f346864d2d35fc3d969aa0a04085f6a2d5d4756e1ce774e378a03,rank_deficient
3,12,1242633291213582306,10,9,a0ad3f0b9633fab751ac904d17f2a20ec105ed1a59349d0fb427247ebcd01e85,accepted
4,0,2253203532503743743,17,12,87166e2b6f28c47a0d3aa71e6031f15899e8294c722998966debe2b37713b5b7,accepted
4,1,3058899636341250894,9,12,de492ddc26f6c13c6fda128faac5810aa027398750d9fdeeabfb4c3f70cf109c,accepted
4,2,354295347041267640,12,12,3c6f35d4d9a9fea9f9467d5b2b2a2af2ce48d0767838f0a75f611dc8ad96a08f,accepted
4,3,2974642277296119365,4,12,33b1e75f650d608967955eb510b082b40689c3ee8bed03d13198c48455769ef2,accepted
4,4,7136841452541290074,14,12,703b75046a04b24ff8b6d86cdb58b65aad46715af8288d7229d8daf103279a69,accepted
4,5,4037629890937587570,7,12,e429d3a1c5002a9c02163b607727ae632640c110098dbba1e92122cfd0a4155d,accepted
4,6,913511148201770772,37,12,80ed95e024c61eb82eeb3212f6f6fa4e6ec935336a571aa68555fa395949a718,accepted
4,7,1728692820170631958,25,12,5c1543cac66bf0a6f37ea49d4346eb8e2889e81f2c5d2af86822346e97d11b64,accepted
5,0,6992168345964125817,7,15,024d609ded5ed65084a261d0cdec3b4fb1be40f56f522ed0024e29bec6d300b5,accepted
5,1,7614656592535934725,12,15,b1a478bf4afe4e723d46e480ba2e9cc006cc6c5d05493983a7b791980fc605c0,accepted
5,2,8534269802828476263,10,14,1d35b364cd4f6b2325a5827051336b06d653c67164520bfd0ef85ca77d8ad920,rank_deficient
5,3,998238802709106284,5,15,8950b4b4438b511d1319865805be8729d5bb0077a4f4e2fd45d90139a797323f,accepted
5,4,9216568195248971594,21,15,c6448a69e2555f9ab7ff96de26bca81904e6898ae5890a612d4065d1626ea0fc,accepted
5,5,532290434930249977,22,15,99407cdb08c7da9e5ba25fe17cb307a0b589b548aa7475f19a5dddff8395de72,accepted
5,6,6205663089771198537,42,15,70d24f33d30b66c15a8f63bd07d38bef791d755494ac7f16af1b4a442b030a50,accepted
5,7,8818374288620579089,7,15,83979e44e1e4854ec38dd8956fdb49ff60f5da138dc969bc1b6df2f5303cc830,accepted
5,8,6703826000772565633,14,15,0e34a904530b5037ef579ef4326154af173b0c0a99387dd4c75c7e08c101a001,accepted
6,0,1957011217083326110,33,18,119afbe41c5bdde0fec92d8a40f19a0b89282584b313cb186a3ec4536ac263b2,accepted
6,1,8967933623359296039,45,17,9ccd4c7d274d29b82ea9f2c997cd619e7cb83813d7d5a24cb580904d85149d94,rank_deficient
6,2,2503247480903115156,7,18,fdb84c82211fbd0c340603f27ae21b880032770e4c8659ad04cccc4b4db7c050,accepted
6,3,2830601025004152776,33,18,52a2cbdf4c2f5f7958c6809eb7ceca6fb3c9be7e8eb09490c6daafd4932b95f2,accepted
6,4,9043597234681182080,21,18,7ccc863a28565da0dfb4e6f0641f021b8c76becfc3a6b2890193caddc6beff2c,accepted
6,5,2686636929019202356,85,18,f88f79c9592ac963e1b0197749fecf4280d765c49a69f34f83c9117a575c3566,accepted
6,6,3117548124889844754,5,18,f9b7cfa33c2f0b550a3c946ee56245eb04ffd18f2b74aa1558154091af94142b,accepted
6,7,3172405307525261715,2,18,0fd98064141b96f7aca79ad3c01cc733faa0d04647f5eb830d6a29441c0cbe74,accepted
6,8,1505007479642146801,30,18,84dc647ed4bfb9b3737a06fd84b45cc1b0fd98495f4fe943e5672d391faca905,accepted
7,0,3636456599711717076,16,21,3bab4d51a660e874de3ea0ae241c8e791b71d341a19dc7bf9f7c0ceab1d12b8a,accepted
7,1,3853581360251671728,4,21,d55e974a9d93cfff2bc36ecf853841eb25a5f16034b9a5058e28c298ecab07a4,accepted
7,2,2933987738829539892,30,21,593b789cf218a370eefa76f39aad57b2e09f6d4782b1b3fb46c04d00581249d3,accepted
7,3,4475946882771614858,2,20,b46ea539869f95304baed1ab314d288a4190f54e03a335e490a6ecebb76ed4c0,rank_deficient
7,4,8991188957731464024,74,21,8a79e5083977d688d4e1ecc9f8661c18aae26902c120ee71f25564b65996b881,accepted
7,5,7707906817560585520,169,21,4e2787bd83b2cd1c250bb53720ceed4ee0754e53d0a4a0c6d79714758b6d8d06,accepted
7,6,2937788557323527550,49,21,4dc9ad8faeecb0692f6c9c6113171ba1cb432be4ddd2e6bae7a8046267d96ab9,accepted
7,7,3427516938593489760,59,21,b56210b03ca104fa45077545c8152e318579c2b5d68ee0fb03b46892d41abefc,accepted
7,8,5340628836598007024,9,21,3861f736b8182631224987c62d1a1e2d9fafbbf405b0c3cb37dd7e1738a23785,accepted
