code_id,m,candidate_index,graph_seed,construction_attempts,classical_H_sha256,classical_rank,classical_distance,n,k,rank_H_X,rank_H_Z,section_fingerprint,logical_frame_fingerprint,code_npz_sha256
m03_c00,3,1,1833726724121472376,16,057313f2f4cbf7295364fd041eb0db6a15f3b7583df136bb53b4a1af89fde30f,9,4,225,9,108,108,fde170483be7e8835b3f763f6937d98c743ba47970994309190ef53cb9171630,7f7350b7093613b2eea30b46a0ad99209e60bf10a98904cb3cb2c01688510561,9cf9eae8634d741ef0645dc6aa27d8c17d95e8b508a5cbc4514799021639622b
m03_c01,3,3,1776929286590871384,1,a28661aee41556186ad71ebd91b661c6dd5c4d8550d8fdb418147cfae87a20c1,9,4,225,9,108,108,9dd9567b105789294190cc1bce341e4cde067389f92c5913f0170b2b3dbf2058,2d0c99a2aebd78b4bf328219c6ba6012f977d324d7d31580888c7c77c2114c4a,3befe8aef00ffd1421f17bafb01239ecc270f82bf4fd3b812d98f9a63f57a827
m03_c02,3,4,6254586124548351213,15,ff539e231b2d937fdd96b21ee191d07fe540a0b70ba85780a5e6cab30b8cf605,9,4,225,9,108,108,6c3f510e5f887e272bed351819f9661447569509fa66415e19f12294a55d1846,8f90d24dbc4ab734def50e32d9362a9193f46578d6d21f340f0ee6ea86d31e61,481d7d0abbb7f3c20b5cae11c6554cb9f2a4335db0ab53f4aeaaa3301ffc757c
m03_c03,3,5,4858795612864983804,1,a57c062eae5665f9b9ccd6c22c4e021fc7956f8dbd94571f85f5a6abb39a00b9,9,6,225,9,108,108,a2b91a00964f3cb5ae35fbc1c149a65322a66698e6e279299f7c1be12408e8f4,3e4e04c0b243baa14f66e4c961997060e1a7819f9bd8328f96a637389445bec8,6f0568bfead7fe9e63426f60b4d5ce98f951f5395ed2108d84cf8d44724a4135
m03_c04,3,6,1801289065217194594,24,e1f3f48f636f5ef363f58b074391c9f27ba102161ac739dd20fc63c3fb7a2444,9,4,225,9,108,108,4382085c8170a553372054763949d1befe19d1820cd7fcda2afdcf004b2ea470,b507e1536917090404b3d009eec078a7d15d3ed107fe743fd70893a26b3aecd4,0a191c77986cb9111fb66f2f9bec771c4b4975b4d6fa7e3e80b754c707dd7481
m03_c05,3,9,1968400196555618637,14,bfeafc05a21db3a39d450272fce016ca8628edb481caa2b1ff4ff28e35ef64fd,9,6,225,9,108,108,70245358f89659750f5894b275cad8c6cffea4de1aae7857c8f2fd31f208c355,6dcc805df39085208a29b6d74b7d5b43aecf21d8bcbbc58807202920c5382b89,a2ba5d405e64dff2e32a6dc57b002108f7f243e53fc9f07d127e6069924fe772
m03_c06,3,10,2548270594712249965,17,f5452eaea3e93cebaa1306e5b670e43b9551890c00187e5aa4d7b9a77d21b3f6,9,4,225,9,108,108,ac365f31aecd7c0a933445d97dcfa337443c55b1257d597c3965d36a64fbaf47,6a388ede9bef46d33009042caaed07c2d2f58129ec61b7b3198ef7ecd830a41e,cb237afc9d93f6b0829d15870fe21940d8e762ee998b3f2108d8acc024380687
m03_c07,3,12,1242633291213582306,10,a0ad3f0b9633fab751ac904d17f2a20ec105ed1a59349d0fb427247ebcd01e85,9,6,225,9,108,108,e8b2af65fbeaf6d188217ed917a4ffbd4269126e4aa7f799236fb15b7c2fd481,5306fe1a065c5e980d390cfd58024b32767ae91b587e01e162df06bda536a37c,6bdf14f54bc98cbde4f05207024901720693edd508bbd7be629fff739b206380
m04_c00,4,0,2253203532503743743,17,87166e2b6f28c47a0d3aa71e6031f15899e8294c722998966debe2b37713b5b7,12,4,400,16,192,192,673d78ffc81fba2d91a6bf81061719860881c302b59ab7c31c49aea4f3aa18bb,30a2f334460a3dd79f460e095191203ba3d4085aac00f6357b033f1ac1ad1ad8,2ddb07aeb7be64a3b1442fc421cc6113736dc6c8364cdc7a23a8be1f4548c8cd
m04_c01,4,1,3058899636341250894,9,de492ddc26f6c13c6fda128faac5810aa027398750d9fdeeabfb4c3f70cf109c,12,2,400,16,192,192,43feeaa16574cbc8b4ca329315ab677f479aa23e173d9100beef9a59c643b7e7,9cf40d8814a616769ba95cb144c96c1640e82509576e6e441f30a9afb0dd4181,36ec10319c506eae83c3b98f44e050b4e9c1987bb8b37950553923e9060c72f8
