m,p,status,primary_mean,pointwise_low,pointwise_high,cluster_se,between_code_std,pooled_binomial_se,failures,trials
3,0.02,REPORTABLE,0.081250,0.074375,0.088375,0.003569,0.159605,0.003055,650,8000
3,0.03,REPORTABLE,0.142000,0.133375,0.150750,0.004443,0.198698,0.003902,1136,8000
3,0.04,REPORTABLE,0.228625,0.218625,0.238875,0.005159,0.230708,0.004695,1829,8000
3,0.05,REPORTABLE,0.335125,0.323875,0.346750,0.005879,0.262930,0.005278,2681,8000
3,0.06,REPORTABLE,0.455000,0.443250,0.466875,0.006013,0.268931,0.005567,3640,8000
3,0.07,REPORTABLE,0.589500,0.577875,0.600875,0.005827,0.260574,0.005500,4716,8000
3,0.08,REPORTABLE,0.706875,0.696375,0.717250,0.005380,0.240599,0.005089,5655,8000
3,0.09,REPORTABLE,0.794250,0.784875,0.803375,0.004710,0.210658,0.004520,6354,8000
3,0.10,REPORTABLE,0.875250,0.868125,0.882250,0.003593,0.160703,0.003694,7002,8000
4,0.02,REPORTABLE,0.079125,0.071875,0.086375,0.003710,0.165934,0.003018,633,8000
4,0.03,REPORTABLE,0.151375,0.141500,0.161250,0.005013,0.224203,0.004007,1211,8000
4,0.04,REPORTABLE,0.233375,0.222625,0.244250,0.005611,0.250946,0.004729,1867,8000
4,0.05,REPORTABLE,0.353000,0.340750,0.365375,0.006300,0.281724,0.005343,2824,8000
4,0.06,REPORTABLE,0.512000,0.500000,0.524125,0.006155,0.275261,0.005589,4096,8000
4,0.07,REPORTABLE,0.657250,0.646000,0.668375,0.005763,0.257741,0.005307,5258,8000
4,0.08,REPORTABLE,0.796000,0.786625,0.805250,0.004745,0.212206,0.004505,6368,8000
4,0.09,REPORTABLE,0.896625,0.890000,0.903128,0.003385,0.151390,0.003404,7173,8000
4,0.10,REPORTABLE,0.956125,0.951500,0.960625,0.002324,0.103919,0.002290,7649,8000
5,0.02,REPORTABLE,0.074875,0.067500,0.082375,0.003771,0.168639,0.002943,599,8000
5,0.03,REPORTABLE,0.134750,0.125250,0.144375,0.004911,0.219640,0.003818,1078,8000
5,0.04,REPORTABLE,0.223625,0.212375,0.235000,0.005761,0.257621,0.004659,1789,8000
5,0.05,REPORTABLE,0.349375,0.337000,0.361875,0.006354,0.284181,0.005330,2795,8000
5,0.06,REPORTABLE,0.518625,0.506375,0.530875,0.006214,0.277890,0.005586,4149,8000
5,0.07,REPORTABLE,0.702750,0.691875,0.713625,0.005570,0.249095,0.005110,5622,8000
5,0.08,REPORTABLE,0.850750,0.842500,0.859000,0.004190,0.187395,0.003984,6806,8000
5,0.09,REPORTABLE,0.949000,0.944000,0.953875,0.002534,0.113327,0.002460,7592,8000
5,0.10,REPORTABLE,0.986250,0.983625,0.988750,0.001299,0.058096,0.001302,7890,8000
6,0.02,REPORTABLE,0.073625,0.066000,0.081375,0.003965,0.177310,0.002920,589,8000
6,0.03,REPORTABLE,0.126000,0.116250,0.136250,0.005143,0.230001,0.003710,1008,8000
6,0.04,REPORTABLE,0.205875,0.194250,0.217750,0.006023,0.269366,0.004521,1647,8000
6,0.05,REPORTABLE,0.332375,0.319875,0.344875,0.006353,0.284119,0.005267,2659,8000
6,0.06,REPORTABLE,0.503250,0.490750,0.515625,0.006301,0.281787,0.005590,4026,8000
6,0.07,REPORTABLE,0.716000,0.705250,0.726875,0.005517,0.246727,0.005042,5728,8000
6,0.08,REPORTABLE,0.877000,0.869250,0.884625,0.003906,0.174675,0.003672,7016,8000
6,0.09,REPORTABLE,0.971375,0.967625,0.975000,0.001875,0.083832,0.001864,7771,8000
6,0.10,REPORTABLE,0.995875,0.994375,0.997250,0.000712,0.031855,0.000717,7967,8000
7,0.02,REPORTABLE,0.068625,0.061000,0.076625,0.003958,0.177024,0.002827,549,8000
7,0.03,REPORTABLE,0.118375,0.108875,0.128375,0.005021,0.224541,0.003612,947,8000
7,0.04,REPORTABLE,0.196125,0.184500,0.208125,0.005983,0.267586,0.004439,1569,8000
7,0.05,REPORTABLE,0.311750,0.299122,0.324625,0.006458,0.288819,0.005179,2494,8000
7,0.06,REPORTABLE,0.513125,0.500375,0.526000,0.006515,0.291379,0.005588,4105,8000
7,0.07,REPORTABLE,0.724375,0.713750,0.735125,0.005438,0.243216,0.004996,5795,8000
7,0.08,REPORTABLE,0.905625,0.899125,0.912000,0.003294,0.147302,0.003269,7245,8000
7,0.09,REPORTABLE,0.982250,0.979250,0.985125,0.001500,0.067080,0.001476,7858,8000
7,0.10,REPORTABLE,0.997250,0.996125,0.998375,0.000583,0.026082,0.000585,7978,8000
8,0.02,REPORTABLE,0.071625,0.063625,0.079875,0.004095,0.183147,0.002883,573,8000
8,0.03,REPORTABLE,0.116375,0.106250,0.126625,0.005152,0.230385,0.003585,931,8000
8,0.04,REPORTABLE,0.175500,0.163750,0.187125,0.005963,0.266665,0.004253,1404,8000
8,0.05,REPORTABLE,0.294375,0.281750,0.307250,0.006487,0.290115,0.005096,2355,8000
8,0.06,REPORTABLE,0.493875,0.481000,0.506750,0.006494,0.290428,0.005590,3951,8000
8,0.07,REPORTABLE,0.731750,0.721125,0.742375,0.005432,0.242918,0.004953,5854,8000
8,0.08,REPORTABLE,0.915250,0.909000,0.921375,0.003163,0.141474,0.003114,7322,8000
8,0.09,REPORTABLE,0.990250,0.988125,0.992375,0.001097,0.049052,0.001099,7922,8000
8,0.10,REPORTABLE,0.999375,0.998750,0.999875,0.000279,0.012487,0.000279,7995,8000
