p,delta38,simultaneous_low,simultaneous_high,certification,delta34,delta45,delta56,delta67,delta78
0.0010,0.066795,0.056309,0.077280,certified_positive,0.006635,0.016130,0.011639,0.007345,0.025046
0.0015,0.087552,0.077067,0.098038,certified_positive,0.011347,0.017534,0.011158,0.017981,0.029532
0.0025,0.123786,0.113300,0.134271,certified_positive,0.015087,0.021630,0.030939,0.029010,0.027120
0.0040,0.180236,0.169750,0.190721,certified_positive,0.029263,0.029620,0.039189,0.036747,0.045417
0.0060,0.242204,0.231718,0.252689,certified_positive,0.039212,0.035050,0.068604,0.048342,0.050997
0.0100,0.355888,0.345402,0.366374,certified_positive,0.064267,0.066596,0.067387,0.088807,0.068830
0.0160,0.457527,0.447041,0.468013,certified_positive,0.087375,0.091512,0.102260,0.070445,0.105935
0.0250,0.519321,0.508835,0.529807,certified_positive,0.129868,0.120189,0.111535,0.088276,0.069453
0.0400,0.437494,0.427009,0.447980,certified_positive,0.164377,0.118682,0.080117,0.054982,0.019336
0.0700,0.138351,0.127865,0.148837,certified_positive,0.101886,0.029112,0.006337,0.001016,0.000000
