m,classical_distance,codes,ensemble_fraction,p,failures,trials,rate
3,2,2151,0.226421,0.0010,259,12906,0.020068
3,2,2151,0.226421,0.0015,370,12906,0.028669
3,2,2151,0.226421,0.0025,622,12906,0.048195
3,2,2151,0.226421,0.0040,963,12906,0.074616
3,2,2151,0.226421,0.0060,1376,12906,0.106617
3,2,2151,0.226421,0.0100,2334,12906,0.180846
3,2,2151,0.226421,0.0160,3623,12906,0.280722
3,2,2151,0.226421,0.0250,5353,12906,0.414768
3,2,2151,0.226421,0.0400,7974,12906,0.617852
3,2,2151,0.226421,0.0700,11316,12906,0.876801
3,4,5556,0.584842,0.0010,400,33336,0.011999
3,4,5556,0.584842,0.0015,538,33336,0.016139
3,4,5556,0.584842,0.0025,860,33336,0.025798
3,4,5556,0.584842,0.0040,1297,33336,0.038907
3,4,5556,0.584842,0.0060,1894,33336,0.056815
3,4,5556,0.584842,0.0100,3313,33336,0.099382
3,4,5556,0.584842,0.0160,5899,33336,0.176956
3,4,5556,0.584842,0.0250,9879,33336,0.296346
3,4,5556,0.584842,0.0400,17180,33336,0.515359
3,4,5556,0.584842,0.0700,28536,33336,0.856012
3,6,1793,0.188737,0.0010,146,10758,0.013571
3,6,1793,0.188737,0.0015,184,10758,0.017104
3,6,1793,0.188737,0.0025,295,10758,0.027421
3,6,1793,0.188737,0.0040,419,10758,0.038948
3,6,1793,0.188737,0.0060,621,10758,0.057724
3,6,1793,0.188737,0.0100,1039,10758,0.096579
3,6,1793,0.188737,0.0160,1852,10758,0.172151
3,6,1793,0.188737,0.0250,3171,10758,0.294757
3,6,1793,0.188737,0.0400,5555,10758,0.516360
3,6,1793,0.188737,0.0700,9262,10758,0.860941
4,2,602,0.182424,0.0010,98,3612,0.027132
4,2,602,0.182424,0.0015,158,3612,0.043743
4,2,602,0.182424,0.0025,260,3612,0.071982
4,2,602,0.182424,0.0040,414,3612,0.114618
4,2,602,0.182424,0.0060,639,3612,0.176910
4,2,602,0.182424,0.0100,966,3612,0.267442
4,2,602,0.182424,0.0160,1407,3612,0.389535
4,2,602,0.182424,0.0250,2062,3612,0.570875
4,2,602,0.182424,0.0400,2815,3612,0.779347
4,2,602,0.182424,0.0700,3515,3612,0.973145
4,4,1329,0.402727,0.0010,142,7974,0.017808
4,4,1329,0.402727,0.0015,220,7974,0.027590
4,4,1329,0.402727,0.0025,307,7974,0.038500
4,4,1329,0.402727,0.0040,566,7974,0.070981
4,4,1329,0.402727,0.0060,733,7974,0.091924
4,4,1329,0.402727,0.0100,1305,7974,0.163657
4,4,1329,0.402727,0.0160,2133,7974,0.267494
4,4,1329,0.402727,0.0250,3417,7974,0.428518
4,4,1329,0.402727,0.0400,5544,7974,0.695260
4,4,1329,0.402727,0.0700,7673,7974,0.962252
4,6,1351,0.409394,0.0010,170,8106,0.020972
4,6,1351,0.409394,0.0015,221,8106,0.027264
4,6,1351,0.409394,0.0025,341,8106,0.042068
4,6,1351,0.409394,0.0040,523,8106,0.064520
4,6,1351,0.409394,0.0060,745,8106,0.091907
4,6,1351,0.409394,0.0100,1309,8106,0.161485
4,6,1351,0.409394,0.0160,2115,8106,0.260918
4,6,1351,0.409394,0.0250,3431,8106,0.423267
4,6,1351,0.409394,0.0400,5481,8106,0.676166
4,6,1351,0.409394,0.0700,7789,8106,0.960893
4,8,18,0.005455,0.0010,1,108,0.009259
4,8,18,0.005455,0.0015,5,108,0.046296
4,8,18,0.005455,0.0025,8,108,0.074074
4,8,18,0.005455,0.0040,7,108,0.064815
4,8,18,0.005455,0.0060,11,108,0.101852
4,8,18,0.005455,0.0100,15,108,0.138889
4,8,18,0.005455,0.0160,26,108,0.240741
4,8,18,0.005455,0.0250,54,108,0.500000
4,8,18,0.005455,0.0400,82,108,0.759259
4,8,18,0.005455,0.0700,101,108,0.935185
5,2,227,0.166912,0.0010,75,1362,0.055066
5,2,227,0.166912,0.0015,96,1362,0.070485
5,2,227,0.166912,0.0025,130,1362,0.095448
5,2,227,0.166912,0.0040,190,1362,0.139501
5,2,227,0.166912,0.0060,281,1362,0.206314
5,2,227,0.166912,0.0100,470,1362,0.345081
5,2,227,0.166912,0.0160,678,1362,0.497797
5,2,227,0.166912,0.0250,956,1362,0.701909
5,2,227,0.166912,0.0400,1217,1362,0.893539
5,2,227,0.166912,0.0700,1357,1362,0.996329
5,4,343,0.252206,0.0010,64,2058,0.031098
5,4,343,0.252206,0.0015,87,2058,0.042274
5,4,343,0.252206,0.0025,128,2058,0.062196
5,4,343,0.252206,0.0040,191,2058,0.092809
5,4,343,0.252206,0.0060,278,2058,0.135083
5,4,343,0.252206,0.0100,445,2058,0.216229
5,4,343,0.252206,0.0160,735,2058,0.357143
5,4,343,0.252206,0.0250,1129,2058,0.548591
5,4,343,0.252206,0.0400,1640,2058,0.796890
5,4,343,0.252206,0.0700,2048,2058,0.995141
5,6,711,0.522794,0.0010,148,4266,0.034693
5,6,711,0.522794,0.0015,184,4266,0.043132
5,6,711,0.522794,0.0025,263,4266,0.061650
5,6,711,0.522794,0.0040,439,4266,0.102907
5,6,711,0.522794,0.0060,544,4266,0.127520
5,6,711,0.522794,0.0100,1006,4266,0.235818
5,6,711,0.522794,0.0160,1513,4266,0.354665
5,6,711,0.522794,0.0250,2318,4266,0.543366
5,6,711,0.522794,0.0400,3461,4266,0.811299
5,6,711,0.522794,0.0700,4228,4266,0.991092
5,8,79,0.058088,0.0010,14,474,0.029536
5,8,79,0.058088,0.0015,25,474,0.052743
5,8,79,0.058088,0.0025,33,474,0.069620
5,8,79,0.058088,0.0040,44,474,0.092827
5,8,79,0.058088,0.0060,60,474,0.126582
5,8,79,0.058088,0.0100,104,474,0.219409
5,8,79,0.058088,0.0160,162,474,0.341772
5,8,79,0.058088,0.0250,272,474,0.573840
5,8,79,0.058088,0.0400,388,474,0.818565
5,8,79,0.058088,0.0700,467,474,0.985232
6,2,102,0.155488,0.0010,46,612,0.075163
6,2,102,0.155488,0.0015,51,612,0.083333
6,2,102,0.155488,0.0025,81,612,0.132353
6,2,102,0.155488,0.0040,118,612,0.192810
6,2,102,0.155488,0.0060,170,612,0.277778
6,2,102,0.155488,0.0100,249,612,0.406863
6,2,102,0.155488,0.0160,359,612,0.586601
6,2,102,0.155488,0.0250,475,612,0.776144
