m,classical_distance,codes,fraction
3,2,17452,0.229143
3,4,44466,0.583834
3,6,14244,0.187022
4,2,2409,0.184343
4,4,5372,0.411081
4,6,5187,0.396924
4,8,100,0.007652
5,2,815,0.157457
5,4,1518,0.293277
5,6,2496,0.482226
5,8,347,0.067040
6,2,351,0.142451
6,4,524,0.212662
6,6,1073,0.435471
6,8,514,0.208604
6,10,2,0.000812
7,2,134,0.112985
7,4,193,0.162732
7,6,460,0.387858
7,8,374,0.315346
7,10,25,0.021079
8,2,1049,0.101411
8,4,1316,0.127224
8,6,3078,0.297564
8,8,4244,0.410286
8,10,657,0.063515
